"Parameter","Estimate","Std. Error","t value","Est","SE","Lower","Upper"
"(Intercept)",2.96232058011491e-07,1.84774626247542e-07,1.60320745346621,2.96232058011491e-07,1.84774626247542e-07,-6.59262094336899e-08,6.58390325456673e-07
"Qim",5.83220175270207e-08,6.70693738662754e-10,86.957748619071,5.83220175270207e-08,6.70693738662754e-10,5.70074577992417e-08,5.96365772547996e-08
"Nm",-6.40008302602016e-16,9.76273256945215e-16,-0.655562669620408,-6.40008302602016e-16,9.76273256945215e-16,-2.55350388621464e-15,1.27348728101061e-15
"P4",-2.71648657318203e-07,1.77522961526154e-07,-1.5302170208454,-2.71648657318203e-07,1.77522961526154e-07,-6.19593661909464e-07,7.62963472730574e-08
"P3",7.04795635645171e-09,1.58514019070855e-08,0.444626689662149,7.04795635645171e-09,1.58514019070855e-08,-2.40207913814359e-08,3.81167040943393e-08
"ou",-3.88077174513605e-10,8.03099923152029e-11,-4.83224021477264,-3.88077174513605e-10,8.03099923152029e-11,-5.45484759451403e-10,-2.30669589575807e-10
"to",-2.63263574501092e-11,4.141403456865e-11,-0.635686856504388,-2.63263574501092e-11,4.141403456865e-11,-1.07497865204663e-10,5.48451503044448e-11
"hp",-1.87530924731042e-08,2.32845877614128e-08,-0.805386492784803,-1.87530924731042e-08,2.32845877614128e-08,-6.43908844854733e-08,2.68846995392649e-08
"no",-5.38234778112673e-16,2.0053472455648e-16,-2.68399789264967,-5.38234778112673e-16,2.0053472455648e-16,-9.31282838243373e-16,-1.45186717981973e-16
"P1",1.09467203425713e-06,2.58274253813879e-07,4.23840943528963,1.09467203425713e-06,2.58274253813879e-07,5.88454496781931e-07,1.60088957173234e-06
"Pus",-3.55018171038247e-07,8.04085874291282e-08,-4.41517731363157,-3.55018171038247e-07,8.04085874291282e-08,-5.12619002399339e-07,-1.97417339677156e-07
"Psm",-2.48097680256475e-07,7.01720065935272e-08,-3.53556485413886,-2.48097680256475e-07,7.01720065935272e-08,-3.85634813179789e-07,-1.10560547333162e-07
"Mp",2.53636080740736e-07,1.59337436503783e-07,1.59181725466453,2.53636080740736e-07,1.59337436503783e-07,-5.86652948066782e-08,5.65937456288151e-07
